,1,5,10,90,95,99
5,0.16225218050972662,0.29689327489728196,0.4366475547727999,3.983539828079895,4.681474149260222,5.923556932783191
15,0.2880589880883222,0.5043474455981107,0.7163728454348337,3.913448202678667,4.323619761687129,5.080798489229093
30,0.428390710723045,0.7050326986839743,0.9386492373070613,3.8809874751289417,4.205359957054936,4.8366301191223515
60,0.6729900227167916,0.9532067439644386,1.161732033249175,3.841948734302942,4.129584590246413,4.716620013530548
